hospital,planted,n,detected,named,amount_checked,amount_exact,collateral
2,unit_price_mismatch,20,20,20,20,20,0
2,line_total_arithmetic,20,20,20,20,20,0
2,invoice_total_mismatch,20,20,20,20,20,0
2,wrong_unit_basis,20,20,20,20,20,0
2,unknown_service,20,20,20,20,20,0
2,daily_cap_exceeded,20,20,20,0,0,0
2,premium_incorrectly_applied,20,20,20,20,20,0
2,volume_discount_incorrectly_applied,20,20,20,20,20,0
2,contract_number_mismatch,20,20,20,20,20,0
2,malformed_service_date,20,20,20,0,0,0
2,service_date_out_of_window,20,20,20,20,20,0
2,service_date_after_invoice_date,20,20,20,0,0,0
2,cross_invoice_duplicate,20,20,20,20,20,0
2,duplicate_invoice_id,20,20,20,0,0,0
3,unit_price_mismatch,20,20,20,20,20,0
3,line_total_arithmetic,20,20,20,20,20,0
3,invoice_total_mismatch,20,20,20,20,20,0
3,wrong_unit_basis,20,20,20,20,20,0
3,unknown_service,20,20,20,20,20,0
3,daily_cap_exceeded,20,20,20,0,0,0
3,premium_incorrectly_applied,20,20,20,20,20,0
3,volume_discount_incorrectly_applied,20,20,20,20,20,0
3,contract_number_mismatch,20,20,20,20,20,0
3,malformed_service_date,20,20,20,0,0,0
3,service_date_out_of_window,20,20,20,20,20,0
3,service_date_after_invoice_date,20,20,20,0,0,0
3,cross_invoice_duplicate,20,20,20,20,20,0
3,duplicate_invoice_id,20,20,20,0,0,0
4,unit_price_mismatch,20,20,20,20,20,0
4,line_total_arithmetic,20,20,20,20,20,0
4,invoice_total_mismatch,20,20,20,20,20,0
4,wrong_unit_basis,20,20,20,20,20,0
4,unknown_service,20,20,20,20,20,0
4,daily_cap_exceeded,20,20,20,0,0,0
4,premium_incorrectly_applied,0,0,0,0,0,0
4,volume_discount_incorrectly_applied,20,20,20,20,20,0
4,contract_number_mismatch,20,20,20,20,20,0
4,malformed_service_date,20,20,20,0,0,0
4,service_date_out_of_window,20,20,20,20,20,0
4,service_date_after_invoice_date,20,20,20,0,0,0
4,cross_invoice_duplicate,20,20,20,20,20,0
4,duplicate_invoice_id,20,20,20,0,0,0
5,unit_price_mismatch,20,20,20,20,20,0
5,line_total_arithmetic,20,20,20,20,20,0
5,invoice_total_mismatch,20,20,20,20,20,0
5,wrong_unit_basis,20,20,20,20,20,0
5,unknown_service,20,20,20,20,20,0
5,daily_cap_exceeded,20,20,20,0,0,0
5,premium_incorrectly_applied,20,20,20,20,20,0
5,volume_discount_incorrectly_applied,20,20,20,20,20,0
5,contract_number_mismatch,20,20,20,20,20,0
5,malformed_service_date,20,20,20,0,0,0
5,service_date_out_of_window,20,20,20,20,20,0
5,service_date_after_invoice_date,20,20,20,0,0,0
5,cross_invoice_duplicate,20,20,20,20,20,0
5,duplicate_invoice_id,20,20,20,0,0,0
